Site,datetime,GPP_daily,ER_daily,K600_daily
POS,2019-05-16 00:00:00,0.131457391,-3.87002304,25.98799612
POS,2019-05-17 00:00:00,0.133502563,-3.566494407,23.8171703
POS,2019-05-18 00:00:00,0.11726963,-3.348163363,22.91180168
POS,2019-05-19 00:00:00,0.032154726,-2.777741527,18.75261639
POS,2019-05-20 00:00:00,0.207966415,-3.736759118,22.69094887
POS,2019-05-21 00:00:00,0.017940051,-2.331014467,14.49808898
POS,2019-05-22 00:00:00,0.042455564,-2.639412836,16.24842155
POS,2019-05-23 00:00:00,0.107406811,-2.997618108,19.19189624
POS,2019-05-24 00:00:00,0.009250215,-2.394304909,15.80930933
POS,2019-05-25 00:00:00,0.051256926,-2.267269692,14.2216378
POS,2019-05-26 00:00:00,0.033127479,-2.10400349,12.9988082
POS,2019-05-27 00:00:00,0.037913962,-1.785118667,10.51867973
POS,2019-05-28 00:00:00,0.150086826,-0.888521442,1.413372307
POS,2019-05-30 00:00:00,-0.073701769,-3.805037486,13.51473896
POS,2019-05-31 00:00:00,-0.101747236,-2.484965702,7.827856819
POS,2019-06-01 00:00:00,-0.038767646,-4.3714262,14.6658552
POS,2019-06-02 00:00:00,0.068327577,-3.891685081,17.434649
POS,2019-06-03 00:00:00,0.054457469,-3.586745281,16.57389327
POS,2019-06-04 00:00:00,-0.067158113,-0.394255938,0.751383139
POS,2019-06-05 00:00:00,0.128289905,-8.314411006,21.83129757
POS,2019-06-06 00:00:00,0.052719198,-3.164208731,11.58687264
POS,2019-06-07 00:00:00,-0.197273665,-4.771504716,17.3683685
POS,2019-06-08 00:00:00,0.219952412,-7.148701072,27.41629924
POS,2019-06-11 00:00:00,-0.282031344,-5.311578106,15.39155123
POS,2019-06-13 00:00:00,-0.219668623,-1.23157914,2.218572899
POS,2019-06-15 00:00:00,-0.065439713,-8.664300597,26.85418196
POS,2019-06-16 00:00:00,-0.102662378,-9.064267381,31.12558239
POS,2019-06-17 00:00:00,-0.771317269,0.110035047,1.336848443
POS,2019-06-18 00:00:00,-0.245664518,-0.304349608,0.712329537
POS,2019-06-19 00:00:00,-0.037788415,-0.439875796,0.346154679
POS,2019-06-20 00:00:00,-0.141412759,-3.025832992,5.304092709
POS,2019-06-22 00:00:00,-0.020627738,-8.332793326,24.34708564
POS,2019-06-23 00:00:00,-0.029478926,-8.661209477,28.11175175
POS,2019-06-25 00:00:00,0.043832256,-8.932066959,32.6295456
POS,2019-06-26 00:00:00,-0.016853794,-8.375289861,32.84567669
POS,2019-06-27 00:00:00,-0.124805748,-7.189130217,29.14690635
POS,2019-06-28 00:00:00,-0.012450415,-7.810153003,33.33800236
POS,2019-06-29 00:00:00,-0.027869354,-7.41260753,33.99051747
